ID,account_type,gender,age,region_code,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,emi_active,cc_cons
12554,current,M,35,708,24893.0,378.0,10288.0,29664.0,16291.4,11432.0,2.0,26.0,10.0,48.0,14.0,47.0,430000.0,1.0,1.0,1.0,1.0,593.2,1244.14,787.0,6885.0,85919.48,25192.0,24.0,6.0,25296.0,11527.5,191777.13,2.0,40.0,24563.0,30051.32,12761.0,2.0,65.0,50836.0,Y,1674.09,20014.0
17645,current,M,35,123,18941.62,966.0,20672.0,287.0,4217.0,885.0,1.0,7.0,13.0,3.0,21.0,31.0,127500.0,1.0,1.0,1.0,1.0,213557.15,172678.56,90525.0,1500.0,12255.75,88693.37,35.0,36.0,80750.0,92276.57,71162.0,2.0,78.0,23948.0,42119.05,76206.0,21.0,63.0,23226.0,Y,13043.34,10173.0
7604,current,M,55,802,5678.87,2724.0,1964.5,3933.11,23956.25,5168.0,43.0,32.0,102.0,4.0,1.0,80.0,199999.0,1.0,1.0,1.0,1.0,165907.57,470000.0,25524.0,3735.0,34193.0,84880.0,72.0,9.0,38466.0,19343.0,70978.0,2.0,82.0,10752.0,58373.25,75283.0,7.0,1.0,27036.0,Y,25375.27,16095.0
1590,current,F,29,867,30489.5,1236.0,12609.88,9138.14,17521.0,13650.3,53.0,1.0,50.0,1.0,1.0,10.0,155000.0,1.0,1.0,1.0,1.0,81872.65,223379.4,48500.0,-4679.0,11558.23,236326.0,43.0,30.0,52732.0,43867.91,63033.84,23.0,38.0,12607.0,69851.51,68708.0,21.0,83.0,43037.0,Y,3544.33,7707.0
16556,current,M,34,802,7441.4,6906.04,4364.0,1939.0,2121.0,6829.18,67.0,47.0,82.0,54.0,16.0,68.0,297000.0,1.0,1.0,1.0,1.0,568.8,385000.0,183999.0,6916.0,17022.81,58897.03,46.0,36.0,19613.0,153253.71,30286.0,24.0,50.0,25213.0,10071.0,80140.0,8.0,32.0,32044.0,Y,12780.44,96408.0
19106,current,M,27,958,2328.22,1597.54,19979.75,1045.85,11686.255,628.0,6.0,7.0,59.0,25.0,3.0,12.0,150000.0,1.0,1.0,1.0,1.0,63590.4,142608.5,96558.0,-4664.0,33149.03,34463.0,11.0,2.0,18433.0,35826.7,19584.0,43.0,2.0,21440.0,52292.68,199925.5,2.0,35.0,17284.0,Y,5026.5,130263.0
10086,current,M,32,805,1643.81,5009.13,8921.62,2151.0,6677.955,1185.0,10.0,2.0,5.0,1.0,44.0,17.0,187000.0,1.0,1.0,1.0,1.0,48796.45,74599.9,33774.0,3983.0,23194.85,18825.0,42.0,5.0,19157.0,56060.5,64994.0,2.0,25.0,20444.0,27354.56,200391.0,58.0,12.0,6779.0,Y,1534.93,113479.0
3045,current,M,28,448,5768.5,1963.0,84272.63,1956.0,6794.46,1225.0,26.0,1.0,59.0,25.0,2.0,7.0,120000.0,1.0,1.0,1.0,1.0,291969.2,51531.0,19400.0,5464.0,15211.28,74444.0,46.0,15.0,58876.0,47179.94,78997.0,1.0,63.0,5473.0,52411.93,7422.0,5.0,58.0,56900.0,Y,14689.56,7463.0
17368,current,F,67,631,721.0,2405.9,28933.37,5672.0,21473.0,1009.0,92.0,34.0,84.0,1.0,18.0,1.0,110000.0,1.0,1.0,1.0,1.0,9624.6,156215.3,24619.0,4856.0,37737.64,57512.0,2.0,4.0,10887.0,32616.0,36852.0,70.0,81.0,27418.0,59500.9,10425.53,2.0,79.0,12626.0,Y,4583.09,5712.0
9756,current,M,37,516,48575.24,4003.8,2112.49,2572.0,15782.52,5623.4,6.0,4.0,87.0,51.0,3.0,34.0,170000.0,1.0,1.0,1.0,1.0,139323.25,135552.85,4000.0,-5439.0,64904.66,14864.78,103.0,36.0,71395.0,71617.81,120696.0,17.0,82.0,1145.0,285604.5,49972.5,2.0,63.0,18524.0,Y,16839.22,7647.0
14772,saving,M,46,325,66617.0,15049.0,23214.0,3562.0,72910.0,1486.5,44.0,65.0,59.0,57.0,27.0,2.0,390000.0,1.0,1.0,1.0,1.0,72937.76,76365.24,908.0,4795.0,2832.01,5272.0,11.0,4.0,12515.0,165676.48,84667.36,3.0,31.0,15636.0,35823.52,153848.0,43.0,11.0,21564.0,Y,296.29,15896.0
16901,current,M,38,867,1928.0,3562.0,3184.14,6815.5,19197.62,1338.0,1.0,66.0,13.0,22.0,21.0,9.0,330000.0,1.0,1.0,1.0,1.0,5688.0,60481.0,579.0,7478.0,32302.87,50436.39,67.0,43.0,15550.0,58411.71,60430.0,4.0,12.0,56665.0,1021.0,35132.0,94.0,10.0,171363.0,Y,2391.74,140730.0
9853,current,M,64,805,9304.07,10117.0,19837.97,1015.0,860.0,1956.0,7.0,77.0,67.0,18.0,9.0,9.0,240000.0,1.0,1.0,1.0,1.0,165907.57,100000.0,78309.0,2921.0,138532.76,93317.0,77.0,0.0,33300.0,41518.57,46213.0,9.0,11.0,17785.0,126930.15,30335.0,2.0,106.0,63214.0,Y,1029.43,164613.0
678,current,F,33,723,20743.54,6748.0,1582.48,888.0,2479.5,1017.0,52.0,36.0,9.0,1.0,12.0,2.0,267000.0,1.0,1.0,1.0,1.0,12.19,1752254.0,51520.0,5730.0,47510.89,72342.0,40.0,15.0,9400.0,125301.0,169247.87,9.0,5.0,25578.31,19113.13,92443.0,94.0,50.0,155924.0,Y,3862.96,18331.0
11040,current,M,62,243,18560.26,5431.86,11728.92,3021.0,2321.3,5150.0,531.0,22.0,19.0,1.0,36.0,29.0,49999.0,1.0,1.0,1.0,1.0,471.05,15395.48,300500.0,1465.0,42363.6,37242.25,16.0,5.0,31486.0,22907.1,141080.0,3.0,108.0,28870.0,20763.12,748139.0,3.0,12.0,24813.0,Y,3362.62,12329.0
